sku_prefix,sku_suffix,lineitem_name
GRE-TA,1lb,"Asian Greens, 'Tatsoi' - 1 lb"
GRE-TA,5lb,"Asian Greens, 'Tatsoi' - 5 lb"
GRE-WC,pkt,"Cress, 'Wrinkled Crinkled Crumpled' - Pkt"
GRE-WC,1/4oz,"Cress, 'Wrinkled Crinkled Crumpled' - 1/4 oz"
GRE-WC,1oz,"Cress, 'Wrinkled Crinkled Crumpled' - 1 oz"
GRE-WC,1/4lb,"Cress, 'Wrinkled Crinkled Crumpled' - 1/4 lb"
GRE-WC,1lb,"Cress, 'Wrinkled Crinkled Crumpled' - 1 lb"
MIX-MI,pkt,Uprising Mild Mesclun - Pkt
MIX-MI,1/4oz,Uprising Mild Mesclun - 1/4 oz
MIX-MI,1oz,Uprising Mild Mesclun - 1 oz
MIX-SP,pkt,Uprising Spicy Mesclun - Pkt
MIX-SP,1/4oz,Uprising Spicy Mesclun - 1/4 oz
GRE-GF,pkt,"Asian Greens, 'Golden Frills' - Pkt"
GRE-GF,1/4oz,"Asian Greens, 'Golden Frills' - 1/4 oz"
GRE-GF,1oz,"Asian Greens, 'Golden Frills' - 1 oz"
GRE-GF,1/4lb,"Asian Greens, 'Golden Frills' - 1/4 lb"
GRE-GF,1lb,"Asian Greens, 'Golden Frills' - 1 lb"
GRE-GW,pkt,"Asian Greens, 'Green Wave' - Pkt"
GRE-GW,1/4oz,"Asian Greens, 'Green Wave' - 1/4 oz"
GRE-GW,1oz,"Asian Greens, 'Green Wave' - 1 oz"
GRE-ES,pkt,Erba Stella - Pkt
GRE-ES,1/8oz,Erba Stella - 1/8 oz
TGC-AM,pkt,Ground Cherry 'Aunt Molly's' - Pkt
TGC-AM,200s,Ground Cherry 'Aunt Molly's' - 200 seeds
KAL-3K,pkt,"Kale, 'A Tale of 3 Kales' - Pkt"
KAL-DB,pkt,"Kale, 'Dazzling Blue' - Pkt"
KAL-DB,1/4oz,"Kale, 'Dazzling Blue' - 1/4 oz"
KAL-DW,pkt,"Kale, 'Dwarf Blue Scotch' - Pkt"
KAL-DW,1/4oz,"Kale, 'Dwarf Blue Scotch' - 1/4 oz"
KAL-DW,1oz,"Kale, 'Dwarf Blue Scotch' - 1 oz"
KAL-DW,1/4lb,"Kale, 'Dwarf Blue Scotch' - 1/4 lb"
KAL-DW,1lb,"Kale, 'Dwarf Blue Scotch' - 1 lb"
KAL-RF,pkt,"Kale, 'Russian Frills' - Pkt"
KAL-RF,1/4oz,"Kale, 'Russian Frills' - 1/4 oz"
KAL-RF,1oz,"Kale, 'Russian Frills' - 1 oz"
KAL-RF,1/4lb,"Kale, 'Russian Frills' - 1/4 lb"
KAL-RF,1lb,"Kale, 'Russian Frills' - 1 lb"
LEE-BW,pkt,"Leek, 'Blaugruner Avano' - Pkt"
LEE-BW,1/8oz,"Leek, 'Blaugruner Avano' - 1/8 oz"
LEE-BW,1/2oz,"Leek, 'Blaugruner Avano' - 1/2 oz"
LEE-BW,1oz,"Leek, 'Blaugruner Avano' - 1 oz"
LEE-LN,pkt,"Leek, 'Lincoln' - Pkt"
LEE-LN,1/8oz,"Leek, 'Lincoln' - 1/8 oz"
LEE-LN,1/2oz,"Leek, 'Lincoln' - 1/2 oz"
LEE-LN,1oz,"Leek, 'Lincoln' - 1 oz"
LEE-LN,1/4lb,"Leek, 'Lincoln' - 1/4 lb"
LEE-NE,pkt,"Leek, 'Neptune' - Pkt"
LEE-NE,1/8oz,"Leek, 'Neptune' - 1/8 oz"
LEE-NE,1/2oz,"Leek, 'Neptune' - 1/2 oz"
LEE-NE,1oz,"Leek, 'Neptune' - 1 oz"
LEN-BL,pkt,"Lentil, 'Black' - Pkt"
LEN-BL,2oz,"Lentil, 'Black' - 2 oz"
LET-WD,pkt,"Lettuce, 'Winter Density' - Pkt"
LET-WD,1/4oz,"Lettuce, 'Winter Density' - 1/4 oz"
LET-WD,1oz,"Lettuce, 'Winter Density' - 1 oz"
LET-DV,pkt,"Lettuce, 'Divina' - Pkt"
LET-DV,1/4oz,"Lettuce, 'Divina' - 1/4 oz"
LET-DV,1oz,"Lettuce, 'Divina' - 1 oz"
LET-MQ,pkt,"Lettuce, 'Merveille des Quatre Saisons' - Pkt"
LET-MQ,1/4oz,"Lettuce, 'Merveille des Quatre Saisons' - 1/4 oz"
LET-MQ,1oz,"Lettuce, 'Merveille des Quatre Saisons' - 1 oz"
LET-MQ,1/4lb,"Lettuce, 'Merveille des Quatre Saisons' - 1/4 lb"
LET-MQ,1lb,"Lettuce, 'Merveille des Quatre Saisons' - 1 lb"
LET-SB,pkt,"Lettuce, 'Scarlet Butter' - Pkt"
LET-SB,1/4oz,"Lettuce, 'Scarlet Butter' - 1/4 oz"
LET-SB,1oz,"Lettuce, 'Scarlet Butter' - 1 oz"
LET-SB,1/4lb,"Lettuce, 'Scarlet Butter' - 1/4 lb"
LET-AB,pkt,"Lettuce, 'Speckled' - Pkt"
LET-AB,1/4oz,"Lettuce, 'Speckled' - 1/4 oz"
LET-AB,1oz,"Lettuce, 'Speckled' - 1 oz"
